Study_ID,Cohort_ID,Shared_control_ID,Obs_ID,Country,Data_source,Data_location,Bird_species,Bird_common_name,Prey_species,Prey_common_name,Response,Measure,Direction,Detail_result,Note_result,Treatment_stimulus,Number_pattern,Diameter_pattern,Area_pattern,Shape_pattern,Control_stimulus,Note_stimulus,Type_prey,Shape_prey,Diet_bird,Bird_sex,Bird_age,Tn,Cn,T_mean,C_mean,MT_mean,MC_mean,T_sd,C_sd,T_proportion,C_proportion,Study_design,Dataset,Mean_median,T_mean_median,C_mean_median,Type_of_variance_statistic,T_se,C_se,T_variance_q1,T_variance_q3,C_variance_q1,C_variance_q3,Note
Blest_1957,Blest_1957_1,Blest_1957_a,1,UK,table. 6,p.230,Emberiza_sulphurata,yellow bunting,Inachis_io,peacock butterfly,continuous,latency,Increase,number of escape response ,"total number of day 1 to day 5, if the bird fears T more than C, the number of times increases, so AM reversed the value (treated as latency category)",eyespot,4,9.91,77.13246137,eyespot,no pattern,,real,butterfly,grainivore,NA,NA,6,6,21.3,5.16667,,,17.4776,5.49242,NA,NA,dependent,predator,mean,21.3,5.16667,SD,NA,NA,NA,NA,NA,NA,Calculated by AM
Jones_1980,Jones_1980_1,Jones_1980_a,2,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency to first step ,,eyespot,1,25,490.8738521,eyespot,no pattern,,artificial,abstract_stimuli,omnivore,male,chick,15,15,35.7,11.6,,,39.1171318,4.260281681,NA,NA,independent,predator,mean,35.7,11.6,SEM,10.1,1.1,NA,NA,NA,NA,
Jones_1980,Jones_1980_1,Jones_1980_a,3,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency to first step ,,eyespot,2,25,490.8738521,eyespot,no pattern,,artificial,abstract_stimuli,omnivore,male,chick,15,15,39.9,11.6,,,32.14576177,4.260281681,NA,NA,independent,predator,mean,39.9,11.6,SEM,8.3,1.1,NA,NA,NA,NA,
Jones_1980,Jones_1980_1,Jones_1980_a,4,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of freezing ,,eyespot,1,25,490.8738521,eyespot,no pattern,,artificial,abstract_stimuli,omnivore,male,chick,15,15,11.6,3.6,,,9.682458366,2.323790008,NA,NA,independent,predator,mean,11.6,3.6,SEM,2.5,0.6,NA,NA,NA,NA,
Jones_1980,Jones_1980_1,Jones_1980_a,5,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of freezing ,,eyespot,2,25,490.8738521,eyespot,no pattern,,artificial,abstract_stimuli,omnivore,male,chick,15,15,25.4,3.6,,,21.3014084,2.323790008,NA,NA,independent,predator,mean,25.4,3.6,SEM,5.5,0.6,NA,NA,NA,NA,
Jones_1980,Jones_1980_1,Jones_1980_a,6,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of sitting ,,eyespot,1,25,490.8738521,eyespot,no pattern,,artificial,abstract_stimuli,omnivore,male,chick,15,15,16.1,9.3,,,23.62519841,12.78084504,NA,NA,independent,predator,mean,16.1,9.3,SEM,6.1,3.3,NA,NA,NA,NA,
Jones_1980,Jones_1980_1,Jones_1980_a,7,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of sitting ,,eyespot,2,25,490.8738521,eyespot,no pattern,,artificial,abstract_stimuli,omnivore,male,chick,15,15,84.9,9.3,,,65.45341855,12.78084504,NA,NA,independent,predator,mean,84.9,9.3,SEM,16.9,3.3,NA,NA,NA,NA,
Jones_1980,Jones_1980_1,Jones_1980_a,8,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of lying ,,eyespot,1,25,490.8738521,eyespot,no pattern,,artificial,abstract_stimuli,omnivore,male,chick,15,15,7.7,0.7,,,18.59032006,2.711088342,NA,NA,independent,predator,mean,7.7,0.7,SEM,4.8,0.7,NA,NA,NA,NA,Mann-Whitney U test; n.s.
Jones_1980,Jones_1980_1,Jones_1980_a,9,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of lying ,,eyespot,2,25,490.8738521,eyespot,no pattern,,artificial,abstract_stimuli,omnivore,male,chick,15,15,45.2,0.7,,,74.74857858,2.711088342,NA,NA,independent,predator,mean,45.2,0.7,SEM,19.3,0.7,NA,NA,NA,NA,Mann-Whitney U test; p < 0.002
Jones_1980,Jones_1980_1,Jones_1980_a,10,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,time of eye closure ,,eyespot,1,25,490.8738521,eyespot,no pattern,,artificial,abstract_stimuli,omnivore,male,chick,15,15,10.1,0.8,,,19.36491673,0.774596669,NA,NA,independent,predator,mean,10.1,0.8,SEM,5,0.2,NA,NA,NA,NA,Mann-Whitney U test; n.s.
