species,sex,photo_id,diameter (mm)
Bicyclus anynana,F,F10,5.035
Bicyclus anynana,F,F10,4.901
Bicyclus anynana,F,F7,4.542
Bicyclus anynana,F,F7,4.305
Bicyclus anynana,F,F9,4.243
Bicyclus anynana,F,F2,4.201
Bicyclus anynana,M,M6,4.201
Bicyclus anynana,F,F2,3.979
Bicyclus anynana,F,F9,3.959
Bicyclus anynana,F,F5,3.725
Bicyclus anynana,M,M6,3.55
Bicyclus anynana,F,F5,3.509
Bicyclus anynana,F,F6,3.482
Bicyclus anynana,F,F6,3.46
Bicyclus anynana,M,M12,3.435
Bicyclus anynana,F,F4,3.413
Bicyclus anynana,F,F5,3.413
Bicyclus anynana,M,M12,3.302
Bicyclus anynana,M,M7,3.274
Bicyclus anynana,F,F4,3.245
Bicyclus anynana,F,F5,3.245
Bicyclus anynana,F,F6,3.245
Bicyclus anynana,F,F1,3.228
Bicyclus anynana,M,M7,3.212
Bicyclus anynana,M,M10,3.147
Bicyclus anynana,M,M10,3.087
Bicyclus anynana,F,F1,3.081
Bicyclus anynana,M,M9,3.038
Bicyclus anynana,M,M9,3.018
Bicyclus anynana,F,F3,2.889
Bicyclus anynana,F,F3,2.852
Bicyclus anynana,M,M1,2.85
Bicyclus anynana,F,F9,2.842
Bicyclus anynana,M,M1,2.83
Bicyclus anynana,F,F10,2.811
Bicyclus anynana,M,M2,2.757
Bicyclus anynana,F,F9,2.712
Bicyclus anynana,F,F8,2.675
Bicyclus anynana,M,M4,2.67
Bicyclus anynana,M,M4,2.652
Bicyclus anynana,F,F9,2.644
Bicyclus anynana,F,F10,2.618
Bicyclus anynana,F,F8,2.608
Bicyclus anynana,F,F9,2.582
Bicyclus anynana,M,M2,2.565
Bicyclus anynana,M,M8,2.476
Bicyclus anynana,F,F9,2.456
Bicyclus anynana,M,M8,2.295
Bicyclus anynana,F,F9,2.249
Bicyclus anynana,M,M7,2.196
Bicyclus anynana,M,M7,2.188
Bicyclus anynana,M,M10,2.145
Bicyclus anynana,M,M10,2.054
Bicyclus anynana,M,M12,2.028
Bicyclus anynana,F,F10,2.003
Bicyclus anynana,F,F9,1.987
Bicyclus anynana,M,M9,1.96
Bicyclus anynana,F,F10,1.941
Bicyclus anynana,M,M7,1.936
Bicyclus anynana,F,F1,1.895
Bicyclus anynana,F,F2,1.867
Bicyclus anynana,F,F1,1.843
Bicyclus anynana,M,M3,1.823
Bicyclus anynana,M,M9,1.821
Bicyclus anynana,F,F10,1.776
Bicyclus anynana,F,F1,1.772
Bicyclus anynana,M,M10,1.759
Bicyclus anynana,M,M7,1.756
Bicyclus anynana,F,F4,1.741
Bicyclus anynana,F,F5,1.741
Bicyclus anynana,F,F6,1.741
Bicyclus anynana,M,M6,1.74
