Obs_ID,Study_ID,Cohort_ID,Shared_control_ID,Year,Country,Data_source,Data_location,Bird_species,Bird_common_name,Prey_species,Prey_common_name,Response,Measure,Direction,Detail_result,Note_result,Treatment_stimulus,Shape_pattern,Control_stimulus,Note_stimulus,Number_pattern,Diameter_pattern,Log_diameter,Area_pattern,Log_area,area_pattern_T,Log_area_pattern_T,Area_background,Log_background,Type_prey,Shape_prey,Diet_bird,Bird_sex,Bird_age,Tn,Cn,T_mean,C_mean,T_sd,C_sd,T_proportion,C_proportion,Study_design,Dataset,Mean_median,T_mean_median,C_mean_median,Type_of_variance_statistic,T_se,C_se,T_variance_q1,T_variance_q3,C_variance_q1,C_variance_q3,lnRR,lnRR_var,Note
1,Blest_1957,Blest_1957_1,Blest_1957_a,1957,UK,table. 6,p.230,Emberiza_sulphurata,yellow bunting,Inachis_io,peacock butterfly,continuous,number,Increase,number of escape response ,"total number of day 1 to 5, reversed value",eyespot,eyespot,no pattern,,4,9.91,2.293544348,77.13246137,4.345524221,308.5298455,5.731818583,1370.3596,7.222828466,real,butterfly,grainivore,NA,NA,6,6,21.3,5.16667,17.4776,5.49242,NA,NA,dependent,predator,mean,21.3,5.16667,SD,NA,NA,NA,NA,NA,NA,1.416478692,0.155181108,Calculated by AM
2,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency to first step ,,eyespot,eyespot,no pattern,,1,25,3.218875825,490.8738521,6.196187174,490.8738521,6.196187174,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,35.7,11.6,39.1171318,4.260281681,NA,NA,independent,predator,mean,35.7,11.6,SEM,10.1,1.1,NA,NA,NA,NA,1.124145591,0.08903213,
3,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency to first step ,,eyespot,eyespot,no pattern,,2,25,3.218875825,490.8738521,6.196187174,981.7477042,6.889334355,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,39.9,11.6,32.14576177,4.260281681,NA,NA,independent,predator,mean,39.9,11.6,SEM,8.3,1.1,NA,NA,NA,NA,1.235371226,0.052264612,
4,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of freezing ,,eyespot,eyespot,no pattern,,1,25,3.218875825,490.8738521,6.196187174,490.8738521,6.196187174,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,11.6,3.6,9.682458366,2.323790008,NA,NA,independent,predator,mean,11.6,3.6,SEM,2.5,0.6,NA,NA,NA,NA,1.170071253,0.074225459,
5,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of freezing ,,eyespot,eyespot,no pattern,,2,25,3.218875825,490.8738521,6.196187174,981.7477042,6.889334355,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,25.4,3.6,21.3014084,2.323790008,NA,NA,independent,predator,mean,25.4,3.6,SEM,5.5,0.6,NA,NA,NA,NA,1.953815329,0.074665372,
6,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of sitting ,,eyespot,eyespot,no pattern,,1,25,3.218875825,490.8738521,6.196187174,490.8738521,6.196187174,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,16.1,9.3,23.62519841,12.78084504,NA,NA,independent,predator,mean,16.1,9.3,SEM,6.1,3.3,NA,NA,NA,NA,0.548804872,0.26946207,
7,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of sitting ,,eyespot,eyespot,no pattern,,2,25,3.218875825,490.8738521,6.196187174,981.7477042,6.889334355,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,84.9,9.3,65.45341855,12.78084504,NA,NA,independent,predator,mean,84.9,9.3,SEM,16.9,3.3,NA,NA,NA,NA,2.211459693,0.165534484,
8,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of lying ,,eyespot,eyespot,no pattern,,1,25,3.218875825,490.8738521,6.196187174,490.8738521,6.196187174,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,7.7,0.7,18.59032006,2.711088342,NA,NA,independent,predator,mean,7.7,0.7,SEM,4.8,0.7,NA,NA,NA,NA,2.397895273,1.388598414,Mann-Whitney U test; n.s.
9,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,duration of lying ,,eyespot,eyespot,no pattern,,2,25,3.218875825,490.8738521,6.196187174,981.7477042,6.889334355,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,45.2,0.7,74.74857858,2.711088342,NA,NA,independent,predator,mean,45.2,0.7,SEM,19.3,0.7,NA,NA,NA,NA,4.167772031,1.182321442,Mann-Whitney U test; p < 0.002
10,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,time of eye closure ,,eyespot,eyespot,no pattern,,1,25,3.218875825,490.8738521,6.196187174,490.8738521,6.196187174,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,10.1,0.8,19.36491673,0.774596669,NA,NA,independent,predator,mean,10.1,0.8,SEM,5,0.2,NA,NA,NA,NA,2.535678975,0.307574012,Mann-Whitney U test; n.s.
