Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"马洪锋","鸡胚啄壳前死亡的预防措施",2003,"科技致富向导","cqvip.com","http://www.cqvip.com/qk/90436x/2003012/8959680.html","",1,"2023-06-16 12:11:17","","","","",,,,,0,0.00,0,1,20,"… 二, 预防措施1. 孵化的前l0 天是胚盘定位的关键时期, 为使胚胎眼点(头部) 沿种蛋大头壳边发育 而… 孵化l0 天后照蛋, 如发现胚种不见眼点(头部), 只在气室周围可见清晰血管, 这些种胚到出壳时…","","https://scholar.google.com/scholar?q=related:LAHVOwS0B0sJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
0,"赵广泉, 杜恒纪","源泊网围养鱼技术试验报告",1990,"齐鲁渔业","cqvip.com","http://www.cqvip.com/qk/96676x/199001/332935.html","",2,"2023-06-16 12:11:17","","","","",,,,,0,0.00,0,2,33,"… 其优点是抗吼能力强, 减少水草杂物堆积避免鱼在拐角处挖坑打… , 杂物等; 采用电捕的方法清除 鸟鳢, 鲶鱼等肉食性凶猛鱼类.(四) … 初期幼虫一壳= l 撕中期幼虫, 眼点幼l 业一附着期等主要变态期, …","","https://scholar.google.com/scholar?q=related:4MMBGia-c_AJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
0,"齐卞","四十八种鱼病的防治 (连载四)",1989,"农村科学实验","cqvip.com","http://www.cqvip.com/qk/90924x/198906/108872.html","",3,"2023-06-16 12:11:17","CITATION","","","",,,,,0,0.00,0,1,34,"… 前端有4 个黑色眼点. 后端有一盘状的同着盘. 其中央有一对太… 形状, 大小和指环虫相似, 但没有 眼点. 在成虫体中部可见一椭圆形… 预防; 用生石灰清塘及消灭中问宿主推实螺和终宿主鸟类.(齐卞)…","","https://scholar.google.com/scholar?q=related:9vhbgUWZZRsJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
167,"孙勉志","汉语环境与英语学习",2001,"","wenqujingdian.com","http://www.wenqujingdian.com/Public/editor/attached/file/3/008/004/27052.pdf","https://scholar.google.com/scholar?cites=4668243024036021443&as_sdt=2005&sciodt=2007&hl=en",4,"2023-06-16 12:11:17","BOOK","","","",,,,,167,7.59,167,1,22,"… 在我国, 从小学三年级起, 儿童就开始接触英语, 步入初中, 高中, 大学, 研究生学习的各个阶段, 各… 学习大军, 如何帮助他们解决英语学习过程中特有的困难和疑惑, 探讨并解决母语对英语学习…","http://www.wenqujingdian.com/Public/editor/attached/file/3/008/004/27052.pdf","https://scholar.google.com/scholar?q=related:w8TcBEzuyEAJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
5,"杨琰云, 韦正道, 屈云芳","动物学实验教程",2005,"","ecsponline.com","http://www.ecsponline.com/yz/B9EC6E6B3C30F4A129EDA9277A4E112D1000.pdf","https://scholar.google.com/scholar?cites=16400770418665646878&as_sdt=2005&sciodt=2007&hl=en",5,"2023-06-16 12:11:17","BOOK","","","",,,,,5,0.28,2,3,18,"… 实验十九家鸽解剖和鸟的重要类群...................................................… 5)制作临时玻片时,如何避免盖 玻片与载玻片之间产生气泡? 6)… (3)储蓄泡(reservoir),胞口和伸缩泡储蓄泡为眼点旁无色透明的泡…","http://www.ecsponline.com/yz/B9EC6E6B3C30F4A129EDA9277A4E112D1000.pdf","https://scholar.google.com/scholar?q=related:HutM_8w9m-MJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
5,"孙虎山","动物学实验教程",2004,"","ecsponline.com","http://www.ecsponline.com/yz/B2B959D013A8249E79A0E501545DEED2F000.pdf","https://scholar.google.com/scholar?cites=16638622295410769571&as_sdt=2005&sciodt=2007&hl=en",6,"2023-06-16 12:11:17","PDF","","","",,,,,5,0.26,5,1,19,"… 统一领导下完成,避免了低层次重复,体现了实验内容的系统性. 3.… 观察爬行类,鸟类和哺乳类代表 动物的血涂片装片,比较不同类群… 眼点:在辐管的末端有两个眼点:一个在内部为圆杯形,为下眼点;…","http://www.ecsponline.com/yz/B2B959D013A8249E79A0E501545DEED2F000.pdf","https://scholar.google.com/scholar?q=related:o37ajdJC6OYJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
0,"李志成, 钟志鸿, 李诗钰, 郭奕轩, 郭庆凯…","海水鱼类淀粉卵涡鞭虫病及其防控研究进展",2022,"大连海洋大学 …","xuebao.dlou.edu.cn","https://xuebao.dlou.edu.cn/CN/abstract/abstract6223.shtml","",7,"2023-06-16 12:11:17","","","","",,,,,0,0.00,0,6,1,"… 养殖业的健康发展ꎮ 本文综述了眼点淀粉卵涡鞭虫生活 史, 流行… 些与水体直接接触的工具进行 传播ꎮ 鸟类, 野生动 物或其他陆生… 取得一定成果ꎬ 但目前仍处于试验阶段ꎬ 未成功 开发出商品化…","https://xuebao.dlou.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=6223","https://scholar.google.com/scholar?q=related:t_0WHZFBGKoJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
0,"国春策, 张睿, 山红艳, 孔宏智","调控进化与形态多样性",2014,"生物多样性","biodiversity-science.net","https://www.biodiversity-science.net/fileup/PDF/2014%E5%B9%B4%E7%AC%AC1%E6%9C%9F%E6%95%B4%E6%9C%9Fpdf%E6%96%87%E4%BB%B6.pdf#page=81","",8,"2023-06-16 12:11:17","PDF","","","",,,,,0,0.00,0,4,9,"… 蝴蝶翅膀的眼 点是由许多不同色彩的鳞片所组成的同心环结构, 在蝴蝶逃避捕食者的过程中发挥 着重要作用. 对于 很多… Carroll 实验室的一系列研究证明, dll, spalt 和 engrailed 等基因参与了…","https://www.biodiversity-science.net/fileup/PDF/2014%E5%B9%B4%E7%AC%AC1%E6%9C%9F%E6%95%B4%E6%9C%9Fpdf%E6%96%87%E4%BB%B6.pdf#page=81","https://scholar.google.com/scholar?q=related:ANS0WNdgqSEJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
13,"叶创兴, 冯虎元","植物学实验指导",2006,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=L58osT4yaL0C&oi=fnd&pg=PA1&dq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&ots=JRd9NXjnKn&sig=QwRm8J3cM_RZqnj_wP8x0242Q5g","https://scholar.google.com/scholar?cites=11045595671865447159&as_sdt=2005&sciodt=2007&hl=en",9,"2023-06-16 12:11:17","BOOK","","","",,,,,13,0.76,7,2,17,"… 本书包括36 个实验和6个开放性实验,这些实验较好地涵盖了植物形态解剖基础和系统分类学的 … 基本实验技能和独立工作能力,同时也安排了一些植物分子系统 学等创新性和前瞻性实验内容.在…","","https://scholar.google.com/scholar?q=related:99Ih0r3WSZkJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
2,"高云, 梁燕婷, 留怡勤, 徐豫松, 王华兵","昆虫着色及体表黑色斑纹和斑点形成机制研究进展",2020,"昆虫学报","insect.org.cn","http://www.insect.org.cn/CN/Y2020/V63/I10/1268","https://scholar.google.com/scholar?cites=15510308891609168404&as_sdt=2005&sciodt=2007&hl=en",10,"2023-06-16 12:11:17","","","","",,,,,2,0.67,0,5,3,"… 对棉花型和黃瓜型两种专化型棉蚜 寄主的选择行为试验结果表明,… 被认为是模 仿鸟粪""模仿图案 #, 然而!在最后龄期!它们的着 色… 而且眼点附近 的红色区域变得不可分辨!周围的线条变得无序, 当…","http://www.insect.org.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=6599","https://scholar.google.com/scholar?q=related:FHrygMKvP9cJ:scholar.google.com/&scioq=%E7%9C%BC%E7%82%B9+%E9%81%BF%E5%85%8D%7C%E6%8D%95%E9%A3%9F%E8%80%85%7C%E9%A2%84%E9%98%B2%7C%E6%81%90%E5%90%93%7C%E6%A8%A1%E4%BB%BF+%E9%B8%9F%E7%B1%BB%7C%E9%B8%9F%7C%E9%9B%80%7C%E8%9D%B4%E8%9D%B6%7C%E8%9B%BE%7C%E9%B3%9E%E7%BF%85%E7%9B%AE%7C%E6%AF%9B%E6%AF%9B%E8%99%AB+%E5%AE%9E%E9%AA%8C%7C%E8%AF%95%E9%AA%8C%7C%E5%AD%A6%E4%B9%A0&hl=en&as_sdt=2007"
